,img,artist,counter
91,//upload.wikimedia.org/wikipedia/commons/thumb/9/90/Wiz_Khalifa_Columbia_University_Bacchanal_2010.jpg/250px-Wiz_Khalifa_Columbia_University_Bacchanal_2010.jpg,Wiz Khalifa,
92,//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Madonna_Super_Bowl2.jpg/170px-Madonna_Super_Bowl2.jpg,LMFAO,
93,,Robin Schulz,
94,//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Jessie_J.jpg/170px-Jessie_J.jpg,Jessie J,
95,//upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Lizzo%2C_Liverpool_SoundCity_2014.jpg/225px-Lizzo%2C_Liverpool_SoundCity_2014.jpg,Lizzo,
96,//upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Taio_Cruz_at_Tup_Tup_Palace.jpg/220px-Taio_Cruz_at_Tup_Tup_Palace.jpg,Taio Cruz,
97,//upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Annandale_Hotel_on_the_corner_of_Parramatta_Rd_and_Nelson_St_in_Annandale.jpg/220px-Annandale_Hotel_on_the_corner_of_Parramatta_Rd_and_Nelson_St_in_Annandale.jpg,5 Seconds of Summer,
98,,Austin Mahone,
99,//upload.wikimedia.org/wikipedia/commons/thumb/5/57/Gym_Class_Heroes_Warped.jpg/220px-Gym_Class_Heroes_Warped.jpg,Gym Class Heroes,
100,//upload.wikimedia.org/wikipedia/commons/thumb/0/00/Shawn_Mendes_VOA.png/220px-Shawn_Mendes_VOA.png,Shawn Mendes,
101,,Rudimental,
102,//upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Meghan_Trainor_in_2010.jpg/170px-Meghan_Trainor_in_2010.jpg,Meghan Trainor,
103,,Jonas Blue,
104,//upload.wikimedia.org/wikipedia/commons/thumb/7/74/Benjamin_Marshall_-_Dustman_-_Bulldog_and_Terrier_Mix.jpg/200px-Benjamin_Marshall_-_Dustman_-_Bulldog_and_Terrier_Mix.jpg,Pitbull,
105,//upload.wikimedia.org/wikipedia/commons/thumb/5/58/Zara_Larsson_%28cropped%29.jpg/170px-Zara_Larsson_%28cropped%29.jpg,Zara Larsson,
106,//upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Troye_Sivan_%2819425360992%29.jpg/220px-Troye_Sivan_%2819425360992%29.jpg,Troye Sivan,
107,,Snakehips,
108,//upload.wikimedia.org/wikipedia/commons/thumb/d/de/Cardi_B_2016.jpg/170px-Cardi_B_2016.jpg,Cardi B,
109,//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/The_Chainsmokers_-_Logo_2013.jpg/220px-The_Chainsmokers_-_Logo_2013.jpg,The Chainsmokers,
110,,Drake,
111,//upload.wikimedia.org/wikipedia/commons/thumb/1/10/Aerial_panorama_of_Mullumbimby%2C_NSW.jpg/220px-Aerial_panorama_of_Mullumbimby%2C_NSW.jpg,Iggy Azalea,
112,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Shakira_in_concert.jpg/170px-Shakira_in_concert.jpg,Shakira,
113,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Lana_Turner_1944_photo.jpg/200px-Lana_Turner_1944_photo.jpg,Lana Del Rey,
114,//upload.wikimedia.org/wikipedia/commons/thumb/5/59/One_Direction_X_Factor_Live_Glasgow.jpg/220px-One_Direction_X_Factor_Live_Glasgow.jpg,One Direction,
115,,Hozier,
116,//upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Robin_Thicke_2012_cropped.jpg/150px-Robin_Thicke_2012_cropped.jpg,Robin Thicke,
117,//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Bruno_Mars_keyboard.jpg/200px-Bruno_Mars_keyboard.jpg,Bruno Mars,
118,//upload.wikimedia.org/wikipedia/commons/thumb/7/76/Katy_Perry_performing.jpg/170px-Katy_Perry_performing.jpg,Katy Perry,
119,//upload.wikimedia.org/wikipedia/commons/thumb/2/22/Miley_Cyrus_Concert.jpg/170px-Miley_Cyrus_Concert.jpg,Miley Cyrus,
120,//upload.wikimedia.org/wikipedia/commons/thumb/9/96/Sia_Furler_in_concert.jpg/170px-Sia_Furler_in_concert.jpg,Sia,
121,,Khalid,
122,//upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Selena_Gomez_2009.jpg/170px-Selena_Gomez_2009.jpg,Selena Gomez,
123,//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Avicii.jpg/170px-Avicii.jpg,Avicii,
124,//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/JenniferLopez.jpg/170px-JenniferLopez.jpg,Jennifer Lopez,
125,//upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Fun._Concert_in_Vegas_Nate_and_Jack.jpg/220px-Fun._Concert_in_Vegas_Nate_and_Jack.jpg,fun.,
126,//upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Liam_Payne_Sydney_Australia.jpg/200px-Liam_Payne_Sydney_Australia.jpg,Liam Payne,
127,//upload.wikimedia.org/wikipedia/commons/thumb/5/54/Demi_Lovato_Crop.jpg/170px-Demi_Lovato_Crop.jpg,Demi Lovato,
128,,Silk City,
129,//upload.wikimedia.org/wikipedia/commons/thumb/4/44/Dua_Lipa-0761.jpg/175px-Dua_Lipa-0761.jpg,Dua Lipa,
130,,Sigala,
131,//upload.wikimedia.org/wikipedia/commons/thumb/d/de/Jason-Derulo_by-Adam-Bielawski_2010-01-12.jpg/170px-Jason-Derulo_by-Adam-Bielawski_2010-01-12.jpg,Jason Derulo,
132,//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Adele.jpg/170px-Adele.jpg,Adele,
133,//upload.wikimedia.org/wikipedia/commons/thumb/d/d1/DavidGuettaLive.jpg/220px-DavidGuettaLive.jpg,David Guetta,
